,gpt-3.5-turbo - context,gpt-3.5-turbo - input,gpt-3.5-turbo - context_input,gpt-4 - context,gpt-4 - input,gpt-4 - context_input,program,bug-type
0,"(0, 29)","(0, 29)","(0, 29)","(0, 29)","(0, 29)","(2, 14)",A-cross,SDIF
1,"(15, 73)","(15, 73)","(15, 73)","(58, 73)","(58, 73)","(36, 36)",C-fairdivision,SDIF
2,"(0, 21)","(0, 21)","(0, 21)","(15, 21)","(0, 21)","(0, 10)",F-islands,SDIF
3,"(26, 79)","(24, 79)","(24, 79)","(26, 79)","(19, 79)","(19, 39)",H-prehistoricprograms,SDIF
4,"(0, 67)",,,"(0, 67)","(0, 67)",,J-splitstream,SDIF
5,"(12, 46)","(12, 46)","(12, 46)","(0, 46)","(12, 46)","(12, 23)",K-meme,SDIF
6,"(1, 146)","(1, 146)","(1, 146)","(1, 146)","(1, 146)",,L-whereami,SDIF
7,"(1, 29)","(1, 29)","(1, 29)","(1, 29)","(1, 29)","(23, 14)",A-cross,SIIF
8,"(14, 73)","(14, 73)","(14, 73)","(0, 73)","(14, 73)","(7, 36)",C-fairdivision,SIIF
9,"(0, 21)","(0, 21)","(0, 21)","(0, 21)","(0, 21)","(15, 10)",F-islands,SIIF
10,"(18, 79)","(16, 79)","(16, 79)","(18, 79)","(17, 79)","(19, 39)",H-prehistoricprograms,SIIF
11,"(0, 67)",,,"(0, 67)",,,J-splitstream,SIIF
12,"(9, 46)","(9, 46)","(9, 46)","(0, 46)","(9, 46)","(9, 23)",K-meme,SIIF
13,"(5, 146)","(5, 146)","(5, 146)","(5, 146)","(5, 146)",,L-whereami,SIIF
14,"(23, 29)","(23, 29)","(23, 29)","(2, 29)","(2, 29)","(0, 14)",A-cross,SRIF
15,"(71, 73)","(70, 73)","(70, 73)","(15, 73)","(56, 73)","(70, 36)",C-fairdivision,SRIF
16,"(15, 21)","(15, 21)","(15, 21)","(15, 21)","(15, 21)","(15, 10)",F-islands,SRIF
17,"(0, 79)","(0, 79)","(0, 79)","(16, 79)","(25, 79)","(11, 39)",H-prehistoricprograms,SRIF
18,"(0, 67)",,,"(0, 67)","(0, 67)",,J-splitstream,SRIF
19,"(28, 46)","(27, 46)","(27, 46)","(4, 46)","(28, 46)","(28, 23)",K-meme,SRIF
20,"(146, 146)","(140, 146)","(140, 146)","(146, 146)","(146, 146)",,L-whereami,SRIF
21,"(23, 29)","(12, 29)","(12, 29)","(21, 29)","(23, 29)","(0, 14)",A-cross,SIRT
22,"(71, 73)","(70, 73)","(70, 73)","(0, 73)","(21, 73)","(38, 36)",C-fairdivision,SIRT
23,"(15, 21)","(15, 21)","(15, 21)","(0, 21)","(0, 21)","(0, 10)",F-islands,SIRT
24,,,,,"(67, 67)",,J-splitstream,SIRT
25,"(0, 46)","(27, 46)","(27, 46)","(27, 46)","(28, 46)","(0, 23)",K-meme,SIRT
26,"(146, 146)","(140, 146)","(140, 146)","(146, 146)","(146, 146)",,L-whereami,SIRT
27,"(0, 29)","(0, 29)","(0, 29)","(0, 29)","(23, 29)","(2, 14)",A-cross,SDIB
28,"(57, 73)","(56, 73)","(56, 73)","(23, 73)","(7, 73)","(56, 36)",C-fairdivision,SDIB
29,"(0, 21)","(15, 21)","(15, 21)","(0, 21)","(0, 21)","(4, 10)",F-islands,SDIB
